LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,PA410,A105,,Prepare and file information disclosure statement listing prior art references and related submission forms. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N,N,N,,,,,,,
FEE,PA230,A102,,Conduct clearance review of patent claims related to the semiconductor packaging method implementation and potential third-party coverage. Conduct targeted legal and factual research to support the task.,Paralegal,N,N,N,N,,,,,,,
FEE,PA230,A106,,Conduct clearance review of patent claims related to the network intrusion detection implementation and potential third-party coverage. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N,N,N,,,,,,,
FEE,PA250,A102,,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Partner,N,N,N,N,,,,,,,
FEE,PA320,A103,,"Draft non-provisional patent specification, claims, and abstract for CA filing covering industrial robotics gripper embodiments. Draft and revise required documents, forms, and supporting statements.",Partner,N,N,N,N,,,,,,,
FEE,PA440,A109,,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Attend examiner interview, hearing, or scheduled conference related to the matter.",Paralegal,N,N,N,N,,,,,,,
FEE,PA340,A103,,"Prepare plant patent application materials, including deposit documentation and drawings, for CA filing. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N,N,N,,,,,,,
FEE,TR410,A106,,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N,N,N,,,,,,,
FEE,TR399,A103,,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N,N,N,,,,,,,
FEE,TR499,A106,,Complete IP prosecution work associated with task TR499 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N,N,N,,,,,,,
FEE,PA440,A104,,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N,N,N,,,,,,,
FEE,PA110,A103,,"Conduct initial inventor and stakeholder interviews to confirm facts and scope for new IP matter. Draft and revise required documents, forms, and supporting statements.",Associate,N,N,N,N,,,,,,,
FEE,PA550,A110,,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N,N,N,,,,,,,
FEE,PA399,A104,,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N,N,N,,,,,,,
FEE,PA340,A110,,"Prepare plant patent application materials, including deposit documentation and drawings, for CA filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N,N,N,,,,,,,
FEE,PA310,A105,,Draft and finalize provisional patent application materials for EP filing based on edge computing pipeline disclosure. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N,N,N,,,,,,,
FEE,PA450,A108,,"Prepare post-issuance remedial filing, such as reissue or reexamination request, and coordinate supporting declarations. Communicate with the IP office, foreign agents, or other external parties.",Partner,N,N,N,N,,,,,,,
FEE,TR310,A106,,"Prepare and file trademark application for {NAME_PLACEHOLDER} Cloud covering medical diagnostic devices, including specimen and first-use information. Communicate with client and inventors to confirm instructions and approvals.",Paralegal,N,N,N,N,,,,,,,
FEE,TR310,A104,,"Prepare and file trademark application for {NAME_PLACEHOLDER} One covering financial services, including specimen and first-use information. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N,N,N,,,,,,,
FEE,TR770,A110,,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Update docketing, maintain files, and manage prosecution documentation.",Paralegal,N,N,N,N,,,,,,,
FEE,PA350,A102,,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Conduct targeted legal and factual research to support the task.",Partner,N,N,N,N,,,,,,,
FEE,PA120,A110,,"Develop prosecution strategy and timeline, including claim or goods/services positioning for filing. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N,N,N,,,,,,,
FEE,PA270,A110,,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Update docketing, maintain files, and manage prosecution documentation.",Partner,N,N,N,N,,,,,,,
FEE,PA540,A102,,"Prepare plant patent application materials, including deposit documentation and drawings, for KR filing. Conduct targeted legal and factual research to support the task.",Paralegal,N,N,N,N,,,,,,,
FEE,PA230,A105,,Conduct clearance review of patent claims related to the optical imaging lens system implementation and potential third-party coverage. Coordinate with internal legal team members and paralegals on execution.,Partner,N,N,N,N,,,,,,,
FEE,PA270,A104,,"Check application status, maintenance fee schedule, and docket deadlines; report status summary to client. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N,N,N,,,,,,,
FEE,PA499,A104,,"Complete IP prosecution work associated with task PA499 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N,N,N,,,,,,,
FEE,TR610,A104,,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N,N,N,,,,,,,
FEE,TR710,A104,,"Draft formal written opinion on registrability, patentability, or clearance implications for the proposed filing. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N,N,N,,,,,,,
FEE,TR440,A104,,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Partner,N,N,N,N,,,,,,,
FEE,PA110,A106,,Conduct initial inventor and stakeholder interviews to confirm facts and scope for new IP matter. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N,N,N,,,,,,,
