LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,L170,A101,,Advise client on transaction structure for IPO,Partner,N,N,N,N,,,,,,,
FEE,L110,A102,,Participate in strategy call with client executives regarding IPO,Partner,N,N,N,N,,,,,,,
FEE,L170,A103,,Review principal legal issues affecting IPO,Partner,N,N,N,N,,,,,,,
FEE,L160,A104,,Draft transaction timeline and work plan for IPO,Associate,N,N,N,N,,,,,,,
FEE,L120,A105,,Review company charter documents in connection with IPO,Associate,N,N,N,N,,,,,,,
FEE,L120,A106,,Analyze material contracts for disclosure issues in IPO,Associate,N,N,N,N,,,,,,,
FEE,L160,A107,,Organize signature pages for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A108,,Compile due diligence index for IPO,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A109,,Advise client on transaction structure for follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A110,,Participate in strategy call with client executives regarding follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A111,,Review principal legal issues affecting follow on equity offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A112,,Draft transaction timeline and work plan for follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A113,,Review company charter documents in connection with follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A114,,Analyze material contracts for disclosure issues in follow on equity offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A115,,Organize signature pages for follow on equity offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A116,,Compile due diligence index for follow on equity offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A117,,Advise client on transaction structure for at the market program,Partner,N,N,N,N,,,,,,,
FEE,L110,A118,,Participate in strategy call with client executives regarding at the market program,Partner,N,N,N,N,,,,,,,
FEE,L170,A119,,Review principal legal issues affecting at the market program,Partner,N,N,N,N,,,,,,,
FEE,L160,A120,,Draft transaction timeline and work plan for at the market program,Associate,N,N,N,N,,,,,,,
FEE,L120,A121,,Review company charter documents in connection with at the market program,Associate,N,N,N,N,,,,,,,
FEE,L120,A122,,Analyze material contracts for disclosure issues in at the market program,Associate,N,N,N,N,,,,,,,
FEE,L160,A123,,Organize signature pages for at the market program,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A124,,Compile due diligence index for at the market program,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A125,,Advise client on transaction structure for registered direct offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A126,,Participate in strategy call with client executives regarding registered direct offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A127,,Review principal legal issues affecting registered direct offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A128,,Draft transaction timeline and work plan for registered direct offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A129,,Review company charter documents in connection with registered direct offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A130,,Analyze material contracts for disclosure issues in registered direct offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A131,,Organize signature pages for registered direct offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A132,,Compile due diligence index for registered direct offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A133,,Advise client on transaction structure for private placement,Partner,N,N,N,N,,,,,,,
FEE,L110,A134,,Participate in strategy call with client executives regarding private placement,Partner,N,N,N,N,,,,,,,
FEE,L170,A135,,Review principal legal issues affecting private placement,Partner,N,N,N,N,,,,,,,
FEE,L160,A136,,Draft transaction timeline and work plan for private placement,Associate,N,N,N,N,,,,,,,
FEE,L120,A137,,Review company charter documents in connection with private placement,Associate,N,N,N,N,,,,,,,
FEE,L120,A138,,Analyze material contracts for disclosure issues in private placement,Associate,N,N,N,N,,,,,,,
FEE,L160,A139,,Organize signature pages for private placement,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A140,,Compile due diligence index for private placement,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A141,,Advise client on transaction structure for Rule 144A offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A142,,Participate in strategy call with client executives regarding Rule 144A offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A143,,Review principal legal issues affecting Rule 144A offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A144,,Draft transaction timeline and work plan for Rule 144A offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A145,,Review company charter documents in connection with Rule 144A offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A146,,Analyze material contracts for disclosure issues in Rule 144A offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A147,,Organize signature pages for Rule 144A offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A148,,Compile due diligence index for Rule 144A offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A149,,Advise client on transaction structure for Regulation S offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A150,,Participate in strategy call with client executives regarding Regulation S offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A151,,Review principal legal issues affecting Regulation S offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A152,,Draft transaction timeline and work plan for Regulation S offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A153,,Review company charter documents in connection with Regulation S offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A154,,Analyze material contracts for disclosure issues in Regulation S offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A155,,Organize signature pages for Regulation S offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A156,,Compile due diligence index for Regulation S offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A157,,Advise client on transaction structure for convertible notes offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A158,,Participate in strategy call with client executives regarding convertible notes offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A159,,Review principal legal issues affecting convertible notes offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A160,,Draft transaction timeline and work plan for convertible notes offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A161,,Review company charter documents in connection with convertible notes offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A162,,Analyze material contracts for disclosure issues in convertible notes offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A163,,Organize signature pages for convertible notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A164,,Compile due diligence index for convertible notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A165,,Advise client on transaction structure for high yield notes offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A166,,Participate in strategy call with client executives regarding high yield notes offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A167,,Review principal legal issues affecting high yield notes offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A168,,Draft transaction timeline and work plan for high yield notes offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A169,,Review company charter documents in connection with high yield notes offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A170,,Analyze material contracts for disclosure issues in high yield notes offering,Associate,N,N,N,N,,,,,,,
FEE,L160,A171,,Organize signature pages for high yield notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A172,,Compile due diligence index for high yield notes offering,Paralegal,N,N,N,N,,,,,,,
FEE,L170,A173,,Advise client on transaction structure for investment grade notes offering,Partner,N,N,N,N,,,,,,,
FEE,L110,A174,,Participate in strategy call with client executives regarding investment grade notes offering,Partner,N,N,N,N,,,,,,,
FEE,L170,A175,,Review principal legal issues affecting investment grade notes offering,Partner,N,N,N,N,,,,,,,
FEE,L160,A176,,Draft transaction timeline and work plan for investment grade notes offering,Associate,N,N,N,N,,,,,,,
FEE,L120,A177,,Review company charter documents in connection with investment grade notes offering,Associate,N,N,N,N,,,,,,,
