TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE
L170,A101,Advise client on transaction structure for IPO,Partner,N,N
L110,A102,Participate in strategy call with client executives regarding IPO,Partner,N,N
L170,A103,Review principal legal issues affecting IPO,Partner,N,N
L160,A104,Draft transaction timeline and work plan for IPO,Associate,N,N
L120,A105,Review company charter documents in connection with IPO,Associate,N,N
L120,A106,Analyze material contracts for disclosure issues in IPO,Associate,N,N
L160,A107,Organize signature pages for IPO,Paralegal,N,N
L120,A108,Compile due diligence index for IPO,Paralegal,N,N
L170,A109,Advise client on transaction structure for follow on equity offering,Partner,N,N
L110,A110,Participate in strategy call with client executives regarding follow on equity offering,Partner,N,N
L170,A111,Review principal legal issues affecting follow on equity offering,Partner,N,N
L160,A112,Draft transaction timeline and work plan for follow on equity offering,Associate,N,N
L120,A113,Review company charter documents in connection with follow on equity offering,Associate,N,N
L120,A114,Analyze material contracts for disclosure issues in follow on equity offering,Associate,N,N
L160,A115,Organize signature pages for follow on equity offering,Paralegal,N,N
L120,A116,Compile due diligence index for follow on equity offering,Paralegal,N,N
L170,A117,Advise client on transaction structure for at the market program,Partner,N,N
L110,A118,Participate in strategy call with client executives regarding at the market program,Partner,N,N
L170,A119,Review principal legal issues affecting at the market program,Partner,N,N
L160,A120,Draft transaction timeline and work plan for at the market program,Associate,N,N
L120,A121,Review company charter documents in connection with at the market program,Associate,N,N
L120,A122,Analyze material contracts for disclosure issues in at the market program,Associate,N,N
L160,A123,Organize signature pages for at the market program,Paralegal,N,N
L120,A124,Compile due diligence index for at the market program,Paralegal,N,N
L170,A125,Advise client on transaction structure for registered direct offering,Partner,N,N
L110,A126,Participate in strategy call with client executives regarding registered direct offering,Partner,N,N
L170,A127,Review principal legal issues affecting registered direct offering,Partner,N,N
L160,A128,Draft transaction timeline and work plan for registered direct offering,Associate,N,N
L120,A129,Review company charter documents in connection with registered direct offering,Associate,N,N
L120,A130,Analyze material contracts for disclosure issues in registered direct offering,Associate,N,N
L160,A131,Organize signature pages for registered direct offering,Paralegal,N,N
L120,A132,Compile due diligence index for registered direct offering,Paralegal,N,N
L170,A133,Advise client on transaction structure for private placement,Partner,N,N
L110,A134,Participate in strategy call with client executives regarding private placement,Partner,N,N
L170,A135,Review principal legal issues affecting private placement,Partner,N,N
L160,A136,Draft transaction timeline and work plan for private placement,Associate,N,N
L120,A137,Review company charter documents in connection with private placement,Associate,N,N
L120,A138,Analyze material contracts for disclosure issues in private placement,Associate,N,N
L160,A139,Organize signature pages for private placement,Paralegal,N,N
L120,A140,Compile due diligence index for private placement,Paralegal,N,N
L170,A141,Advise client on transaction structure for Rule 144A offering,Partner,N,N
L110,A142,Participate in strategy call with client executives regarding Rule 144A offering,Partner,N,N
L170,A143,Review principal legal issues affecting Rule 144A offering,Partner,N,N
L160,A144,Draft transaction timeline and work plan for Rule 144A offering,Associate,N,N
L120,A145,Review company charter documents in connection with Rule 144A offering,Associate,N,N
L120,A146,Analyze material contracts for disclosure issues in Rule 144A offering,Associate,N,N
L160,A147,Organize signature pages for Rule 144A offering,Paralegal,N,N
L120,A148,Compile due diligence index for Rule 144A offering,Paralegal,N,N
L170,A149,Advise client on transaction structure for Regulation S offering,Partner,N,N
L110,A150,Participate in strategy call with client executives regarding Regulation S offering,Partner,N,N
L170,A151,Review principal legal issues affecting Regulation S offering,Partner,N,N
L160,A152,Draft transaction timeline and work plan for Regulation S offering,Associate,N,N
L120,A153,Review company charter documents in connection with Regulation S offering,Associate,N,N
L120,A154,Analyze material contracts for disclosure issues in Regulation S offering,Associate,N,N
L160,A155,Organize signature pages for Regulation S offering,Paralegal,N,N
L120,A156,Compile due diligence index for Regulation S offering,Paralegal,N,N
L170,A157,Advise client on transaction structure for convertible notes offering,Partner,N,N
L110,A158,Participate in strategy call with client executives regarding convertible notes offering,Partner,N,N
L170,A159,Review principal legal issues affecting convertible notes offering,Partner,N,N
L160,A160,Draft transaction timeline and work plan for convertible notes offering,Associate,N,N
L120,A161,Review company charter documents in connection with convertible notes offering,Associate,N,N
L120,A162,Analyze material contracts for disclosure issues in convertible notes offering,Associate,N,N
L160,A163,Organize signature pages for convertible notes offering,Paralegal,N,N
L120,A164,Compile due diligence index for convertible notes offering,Paralegal,N,N
L170,A165,Advise client on transaction structure for high yield notes offering,Partner,N,N
L110,A166,Participate in strategy call with client executives regarding high yield notes offering,Partner,N,N
L170,A167,Review principal legal issues affecting high yield notes offering,Partner,N,N
L160,A168,Draft transaction timeline and work plan for high yield notes offering,Associate,N,N
L120,A169,Review company charter documents in connection with high yield notes offering,Associate,N,N
L120,A170,Analyze material contracts for disclosure issues in high yield notes offering,Associate,N,N
L160,A171,Organize signature pages for high yield notes offering,Paralegal,N,N
L120,A172,Compile due diligence index for high yield notes offering,Paralegal,N,N
L170,A173,Advise client on transaction structure for investment grade notes offering,Partner,N,N
L110,A174,Participate in strategy call with client executives regarding investment grade notes offering,Partner,N,N
L170,A175,Review principal legal issues affecting investment grade notes offering,Partner,N,N
L160,A176,Draft transaction timeline and work plan for investment grade notes offering,Associate,N,N
L120,A177,Review company charter documents in connection with investment grade notes offering,Associate,N,N
L120,A178,Analyze material contracts for disclosure issues in investment grade notes offering,Associate,N,N
L160,A179,Organize signature pages for investment grade notes offering,Paralegal,N,N
L120,A180,Compile due diligence index for investment grade notes offering,Paralegal,N,N
L170,A181,Advise client on transaction structure for de-SPAC transaction,Partner,N,N
L110,A182,Participate in strategy call with client executives regarding de-SPAC transaction,Partner,N,N
L170,A183,Review principal legal issues affecting de-SPAC transaction,Partner,N,N
L160,A184,Draft transaction timeline and work plan for de-SPAC transaction,Associate,N,N
L120,A185,Review company charter documents in connection with de-SPAC transaction,Associate,N,N
L120,A186,Analyze material contracts for disclosure issues in de-SPAC transaction,Associate,N,N
L160,A187,Organize signature pages for de-SPAC transaction,Paralegal,N,N
L120,A188,Compile due diligence index for de-SPAC transaction,Paralegal,N,N
L170,A189,Advise client on transaction structure for secondary share sale,Partner,N,N
L110,A190,Participate in strategy call with client executives regarding secondary share sale,Partner,N,N
L170,A191,Review principal legal issues affecting secondary share sale,Partner,N,N
L160,A192,Draft transaction timeline and work plan for secondary share sale,Associate,N,N
L120,A193,Review company charter documents in connection with secondary share sale,Associate,N,N
L120,A194,Analyze material contracts for disclosure issues in secondary share sale,Associate,N,N
L160,A195,Organize signature pages for secondary share sale,Paralegal,N,N
L120,A196,Compile due diligence index for secondary share sale,Paralegal,N,N
L170,A197,Advise client on transaction structure for preferred stock financing,Partner,N,N
L110,A198,Participate in strategy call with client executives regarding preferred stock financing,Partner,N,N
L170,A199,Review principal legal issues affecting preferred stock financing,Partner,N,N
L160,A200,Draft transaction timeline and work plan for preferred stock financing,Associate,N,N
L120,A201,Review company charter documents in connection with preferred stock financing,Associate,N,N
L120,A202,Analyze material contracts for disclosure issues in preferred stock financing,Associate,N,N
L160,A203,Organize signature pages for preferred stock financing,Paralegal,N,N
L120,A204,Compile due diligence index for preferred stock financing,Paralegal,N,N
L170,A205,Advise client on transaction structure for rights offering,Partner,N,N
L110,A206,Participate in strategy call with client executives regarding rights offering,Partner,N,N
L170,A207,Review principal legal issues affecting rights offering,Partner,N,N
L160,A208,Draft transaction timeline and work plan for rights offering,Associate,N,N
L120,A209,Review company charter documents in connection with rights offering,Associate,N,N
L120,A210,Analyze material contracts for disclosure issues in rights offering,Associate,N,N
L160,A211,Organize signature pages for rights offering,Paralegal,N,N
L120,A212,Compile due diligence index for rights offering,Paralegal,N,N
L170,A213,Advise client on transaction structure for shelf takedown,Partner,N,N
L110,A214,Participate in strategy call with client executives regarding shelf takedown,Partner,N,N
L170,A215,Review principal legal issues affecting shelf takedown,Partner,N,N
L160,A216,Draft transaction timeline and work plan for shelf takedown,Associate,N,N
L120,A217,Review company charter documents in connection with shelf takedown,Associate,N,N
L120,A218,Analyze material contracts for disclosure issues in shelf takedown,Associate,N,N
L160,A219,Organize signature pages for shelf takedown,Paralegal,N,N
L120,A220,Compile due diligence index for shelf takedown,Paralegal,N,N
L170,A221,Advise client on transaction structure for tender offer,Partner,N,N
L110,A222,Participate in strategy call with client executives regarding tender offer,Partner,N,N
L170,A223,Review principal legal issues affecting tender offer,Partner,N,N
L160,A224,Draft transaction timeline and work plan for tender offer,Associate,N,N
L120,A225,Review company charter documents in connection with tender offer,Associate,N,N
L120,A226,Analyze material contracts for disclosure issues in tender offer,Associate,N,N
L160,A227,Organize signature pages for tender offer,Paralegal,N,N
L120,A228,Compile due diligence index for tender offer,Paralegal,N,N
L170,A229,Advise client on transaction structure for exchange offer,Partner,N,N
L110,A230,Participate in strategy call with client executives regarding exchange offer,Partner,N,N
L170,A231,Review principal legal issues affecting exchange offer,Partner,N,N
L160,A232,Draft transaction timeline and work plan for exchange offer,Associate,N,N
L120,A233,Review company charter documents in connection with exchange offer,Associate,N,N
L120,A234,Analyze material contracts for disclosure issues in exchange offer,Associate,N,N
L160,A235,Organize signature pages for exchange offer,Paralegal,N,N
L120,A236,Compile due diligence index for exchange offer,Paralegal,N,N
L170,A237,Advise client on transaction structure for PIPE transaction,Partner,N,N
L110,A238,Participate in strategy call with client executives regarding PIPE transaction,Partner,N,N
L170,A239,Review principal legal issues affecting PIPE transaction,Partner,N,N
L160,A240,Draft transaction timeline and work plan for PIPE transaction,Associate,N,N
L120,A241,Review company charter documents in connection with PIPE transaction,Associate,N,N
L120,A242,Analyze material contracts for disclosure issues in PIPE transaction,Associate,N,N
L160,A243,Organize signature pages for PIPE transaction,Paralegal,N,N
L120,A244,Compile due diligence index for PIPE transaction,Paralegal,N,N
L170,A245,Advise client on transaction structure for block trade,Partner,N,N
L110,A246,Participate in strategy call with client executives regarding block trade,Partner,N,N
L170,A247,Review principal legal issues affecting block trade,Partner,N,N
L160,A248,Draft transaction timeline and work plan for block trade,Associate,N,N
L120,A249,Review company charter documents in connection with block trade,Associate,N,N
L120,A250,Analyze material contracts for disclosure issues in block trade,Associate,N,N
L160,A251,Organize signature pages for block trade,Paralegal,N,N
L120,A252,Compile due diligence index for block trade,Paralegal,N,N
L170,A253,Advise client on transaction structure for warrant issuance,Partner,N,N
L110,A254,Participate in strategy call with client executives regarding warrant issuance,Partner,N,N
L170,A255,Review principal legal issues affecting warrant issuance,Partner,N,N
L160,A256,Draft transaction timeline and work plan for warrant issuance,Associate,N,N
L120,A257,Review company charter documents in connection with warrant issuance,Associate,N,N
L120,A258,Analyze material contracts for disclosure issues in warrant issuance,Associate,N,N
L160,A259,Organize signature pages for warrant issuance,Paralegal,N,N
L120,A260,Compile due diligence index for warrant issuance,Paralegal,N,N
L170,A261,Advise client on transaction structure for green bond issuance,Partner,N,N
L110,A262,Participate in strategy call with client executives regarding green bond issuance,Partner,N,N
L170,A263,Review principal legal issues affecting green bond issuance,Partner,N,N
L160,A264,Draft transaction timeline and work plan for green bond issuance,Associate,N,N
L120,A265,Review company charter documents in connection with green bond issuance,Associate,N,N
L120,A266,Analyze material contracts for disclosure issues in green bond issuance,Associate,N,N
L160,A267,Organize signature pages for green bond issuance,Paralegal,N,N
L120,A268,Compile due diligence index for green bond issuance,Paralegal,N,N
L170,A269,Advise client on transaction structure for medium term notes program,Partner,N,N
L110,A270,Participate in strategy call with client executives regarding medium term notes program,Partner,N,N
L170,A271,Review principal legal issues affecting medium term notes program,Partner,N,N
L160,A272,Draft transaction timeline and work plan for medium term notes program,Associate,N,N
L120,A273,Review company charter documents in connection with medium term notes program,Associate,N,N
L120,A274,Analyze material contracts for disclosure issues in medium term notes program,Associate,N,N
L160,A275,Organize signature pages for medium term notes program,Paralegal,N,N
L120,A276,Compile due diligence index for medium term notes program,Paralegal,N,N
L170,A277,Advise client on transaction structure for commercial paper program,Partner,N,N
L110,A278,Participate in strategy call with client executives regarding commercial paper program,Partner,N,N
L170,A279,Review principal legal issues affecting commercial paper program,Partner,N,N
L160,A280,Draft transaction timeline and work plan for commercial paper program,Associate,N,N
L120,A281,Review company charter documents in connection with commercial paper program,Associate,N,N
L120,A282,Analyze material contracts for disclosure issues in commercial paper program,Associate,N,N
L160,A283,Organize signature pages for commercial paper program,Paralegal,N,N
L120,A284,Compile due diligence index for commercial paper program,Paralegal,N,N
L170,A285,Advise client on transaction structure for dual listing project,Partner,N,N
L110,A286,Participate in strategy call with client executives regarding dual listing project,Partner,N,N
L170,A287,Review principal legal issues affecting dual listing project,Partner,N,N
L160,A288,Draft transaction timeline and work plan for dual listing project,Associate,N,N
L120,A289,Review company charter documents in connection with dual listing project,Associate,N,N
L120,A290,Analyze material contracts for disclosure issues in dual listing project,Associate,N,N
L160,A291,Organize signature pages for dual listing project,Paralegal,N,N
L120,A292,Compile due diligence index for dual listing project,Paralegal,N,N
L170,A293,Advise client on transaction structure for uplisting transaction,Partner,N,N
L110,A294,Participate in strategy call with client executives regarding uplisting transaction,Partner,N,N
L170,A295,Review principal legal issues affecting uplisting transaction,Partner,N,N
L160,A296,Draft transaction timeline and work plan for uplisting transaction,Associate,N,N
L120,A297,Review company charter documents in connection with uplisting transaction,Associate,N,N
L120,A298,Analyze material contracts for disclosure issues in uplisting transaction,Associate,N,N
L160,A299,Organize signature pages for uplisting transaction,Paralegal,N,N
L120,A300,Compile due diligence index for uplisting transaction,Paralegal,N,N
L130,A301,Negotiate key legal terms for IPO,Partner,N,N
L110,A302,Review board approval strategy for IPO,Partner,N,N
L170,A303,Analyze securities law implications of investor communications for IPO,Partner,N,N
L130,A304,Review final legal opinion framework for IPO,Partner,N,N
L170,A305,Advise on underwriter and placement agent obligations for IPO,Partner,N,N
L150,A306,Review disclosure risk allocation for IPO,Partner,N,N
L160,A307,Discuss timing and execution risks for IPO,Partner,N,N
L130,A308,Prepare initial draft of transaction agreement for IPO,Associate,N,N
L130,A309,Revise purchase agreement based on client comments for IPO,Associate,N,N
L150,A310,Draft risk factor updates for IPO,Associate,N,N
L120,A311,Prepare responses to diligence questions for IPO,Associate,N,N
L150,A312,Review financial statement references in offering materials for IPO,Associate,N,N
L170,A313,Research SEC guidance relevant to IPO,Associate,N,N
L160,A314,Prepare draft closing checklist for IPO,Associate,N,N
L130,A315,Review lock up agreement comments for IPO,Associate,N,N
L160,A316,Draft officer certificate for IPO,Associate,N,N
L150,A317,Prepare backup support for disclosure statements in IPO,Associate,N,N
L170,A318,Review investor presentation for securities law compliance in IPO,Associate,N,N
L180,A319,Analyze exchange listing rules applicable to IPO,Associate,N,N
L140,A320,Prepare EDGAR filing package for IPO,Paralegal,N,N
L160,A321,Coordinate document execution logistics for IPO,Paralegal,N,N
L160,A322,Maintain closing checklist status for IPO,Paralegal,N,N
L160,A323,Collect officer and secretary certificates for IPO,Paralegal,N,N
L160,A324,Assemble closing binder materials for IPO,Paralegal,N,N
L160,A325,Circulate draft document set for internal review for IPO,Paralegal,N,N
L120,A326,Prepare capitalization table backup folder for IPO,Paralegal,N,N
