LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,TR220,A102,,"Perform registerability investigation for the ORION mark for downloadable mobile app software for payment processing in USPTO. Document conflicts, descriptiveness concerns, and filing recommendations.",Associate,N,N,N,N,,,,,,,
FEE,TR230,A102,,Conduct comprehensive trademark clearance search for SATURN covering software-as-a-service for document automation and workflow in CIPO. Analyze search results and provide risk assessment to client.,Paralegal,N,N,N,N,,,,,,,
FEE,TR120,A101,,"Develop filing strategy for NOVA including classes Class 9 and geographic rollout. Outline prosecution timeline, costs, and recommended specimen approach.",Associate,N,N,N,N,,,,,,,
FEE,TR310,A103,,"Prepare and file domestic trademark application for LUMEN covering software-as-a-service for document automation and workflow in WIPO/Madrid. Draft identification, select basis, and coordinate signature requirements.",Partner,N,N,N,N,,,,,,,
FEE,TR130,A110,,"Organize and manage trademark file materials for CRESCENT including evidence, specimens, and correspondence. Update matter notes and maintain document version control.",Partner,N,N,N,N,,,,,,,
FEE,TR430,A103,,Draft and revise response to office action for AURORA in JPO. Address likelihood of confusion and descriptiveness issues with legal argument and amendments.,Paralegal,N,N,N,N,,,,,,,
FEE,TR430,A104,,"Review office action issued for ECLIPSE by INPI (France) and analyze refusal grounds. Summarize options, deadlines, and recommended response strategy.",Paralegal,N,N,N,N,,,,,,,
FEE,TR410,A103,,Prepare declaration or affidavit filing for PULSE including verified statements and supporting exhibits. Coordinate execution and submit electronically where required.,Associate,N,N,N,N,,,,,,,
FEE,TR410,A103,,Prepare statement of use and specimen package for VECTRA. Review specimen acceptability and draft declarations to support use in commerce.,Associate,N,N,N,N,,,,,,,
FEE,TR410,A103,,"Prepare and file extension request for statement of use for SUMMIT. Confirm deadlines, draft request, and update docket with new due dates.",Associate,N,N,N,N,,,,,,,
FEE,TR250,A102,,Set up publication watch for KINETIC and monitor new filings in relevant classes Class 9. Review alerts weekly and flag potential conflicts.,Paralegal,N,N,N,N,,,,,,,
FEE,TR260,A102,,Investigate potential trademark infringement involving EMBER and software-as-a-service for document automation and workflow. Gather marketplace evidence and summarize enforcement options for client.,Associate,N,N,N,N,,,,,,,
FEE,TR440,A103,,"Draft notice of opposition pleadings for HARBOR before TTAB or equivalent tribunal. Prepare claims, supporting facts, and required exhibits.",Associate,N,N,N,N,,,,,,,
FEE,TR440,A105,,"Communicate with opposing counsel regarding opposition related to RADIANT. Discuss settlement posture, extensions, and procedural scheduling matters.",Associate,N,N,N,N,,,,,,,
FEE,TR270,A110,,"Update trademark prosecution status for POLARIS in UKIPO. Review docket, confirm deadlines, and send status report to the legal team.",Associate,N,N,N,N,,,,,,,
