TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,Blockbilling
L300,A107,Draft joint case management statement re deposition logistics,Associate,N
L300,A101,Maintain case chronology re discovery issues,Paralegal,N
L300,A107,Draft notice of removal re deposition logistics to {NAME_PLACEHOLDER},Associate,N
L300,A110,Approve deposition strategy with {NAME_PLACEHOLDER},Partner,N
L200,A111,Attend hearing and argue motion re trial preparation,Partner,N
L400,A111,Coordinate hearing logistics re settlement framework,Paralegal,N
L200,A101,Prepare and serve subpoenas re motion practice,Paralegal,N
L300,A110,Prepare deposition cross outline re case budget,Associate,N
L200,A107,Draft motion for summary judgment re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare deposition cross outline re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L320,A113,Bates label and organize document set re settlement framework,Paralegal,N
L140,A105,Research sanctions standards re compliance with local rules,Associate,N
L200,A107,Draft reply brief re mediation planning,Associate,N
L200,A107,Draft motion for summary judgment re discovery issues,Associate,N
L200,A107,Revise discovery responses re motion practice,Associate,N
L240,A112,Review and analyze case law updates re mediation planning,Associate,N
L500,A104,Evaluate appeal issues,Partner,N
L200,A105,Compile record citations re motion practice,Paralegal,N
L200,A107,High-level review of draft motion re settlement framework,Partner,N
L400,A113,Update docket and calendar key dates re trial preparation,Paralegal,N
L200,A101,Prepare for settlement conference re motion practice,Partner,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy regarding expert strategy,Partner,N
L140,A112,Review case budget and resourcing re case budget,Partner,N
L230,A103,Arrange courier for courtesy copies re compliance with local rules,Paralegal,N
L300,A110,Approve deposition strategy re trial preparation with {NAME_PLACEHOLDER},Partner,N
L300,A110,Coordinate hearing logistics re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L320,A107,Draft subpoena to third party re compliance with local rules,Associate,N
L300,A107,Draft notice of deposition re trial preparation,Paralegal,N
L400,A105,Assess risk and exposure estimates re trial preparation,Partner,N
L300,A110,Evaluate removal/remand options re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L140,A105,Research sanctions standards re case budget,Associate,N
L200,A107,Draft mediation brief re motion practice,Associate,N
L300,A110,Maintain case chronology re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L430,A107,Draft responses to RFPs and RFAs re compliance with local rules,Associate,N
L430,A106,Evaluate settlement options re compliance with local rules,Partner,N
L300,A110,Approve deposition strategy re settlement framework with {NAME_PLACEHOLDER},Partner,N
L200,A111,Attend hearing and argue motion re mediation planning,Partner,N
L300,A110,Prepare deposition cross outline with {NAME_PLACEHOLDER},Associate,N
L300,A103,Arrange courier for courtesy copies re compliance with local rules; Track discovery deficiencies; Prepare witness availability chart re discovery issues; Assemble exhibit binders,Paralegal,Y
L300,A107,Prepare interrogatories and RFPs re settlement framework; Draft notice of removal re mediation planning; Analyze document production for key facts,Associate,Y
L510,A105,Research expert admissibility (Daubert) re compliance with local rules,Associate,N
L110,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re compliance with local rules,Associate,N
L400,A101,Draft pretrial conference statement with {NAME_PLACEHOLDER},Associate,N
L300,A101,Strategy conference re case posture re deposition logistics,Partner,N
L200,A111,E-file motion and manage service re compliance with local rules,Paralegal,N
L300,A107,Draft initial disclosures re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re case budget,Paralegal,N
L200,A110,Mentor Associate on brief structure re settlement framework,Partner,N
L200,A107,Draft motion for summary judgment re motion practice,Associate,N
L200,A111,Attend hearing and argue motion re settlement framework,Partner,N
