TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE
PA410,A105,Prepare and file information disclosure statement listing prior art references and related submission forms. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
PA230,A102,Conduct clearance review of patent claims related to the semiconductor packaging method implementation and potential third-party coverage. Conduct targeted legal and factual research to support the task.,Paralegal,N,N
PA230,A106,Conduct clearance review of patent claims related to the network intrusion detection implementation and potential third-party coverage. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA250,A102,Set up publication watch alerts and review newly published applications for potential conflicts. Conduct targeted legal and factual research to support the task.,Partner,N,N
PA320,A103,"Draft non-provisional patent specification, claims, and abstract for CA filing covering industrial robotics gripper embodiments. Draft and revise required documents, forms, and supporting statements.",Partner,N,N
PA440,A109,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Attend examiner interview, hearing, or scheduled conference related to the matter.",Paralegal,N,N
PA340,A103,"Prepare plant patent application materials, including deposit documentation and drawings, for CA filing. Draft and revise required documents, forms, and supporting statements.",Paralegal,N,N
TR410,A106,"Prepare and file affidavits, petitions, extensions, declarations, or change of correspondence for prosecution record. Communicate with client and inventors to confirm instructions and approvals.",Associate,N,N
TR399,A103,"Complete IP prosecution work associated with task TR399 and document outcomes for the client. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
TR499,A106,Complete IP prosecution work associated with task TR499 and document outcomes for the client. Communicate with client and inventors to confirm instructions and approvals.,Associate,N,N
PA440,A104,"Prepare appeal or opposition materials, including briefs and evidentiary exhibits, for administrative tribunal proceeding. Review and analyze communications, evidence, and filings for accuracy.",Paralegal,N,N
PA110,A103,"Conduct initial inventor and stakeholder interviews to confirm facts and scope for new IP matter. Draft and revise required documents, forms, and supporting statements.",Associate,N,N
PA550,A110,"Prepare continuing application papers and updated claims set, preserving priority to the parent filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA399,A104,"Complete IP prosecution work associated with task PA399 and document outcomes for the client. Review and analyze communications, evidence, and filings for accuracy.",Associate,N,N
PA340,A110,"Prepare plant patent application materials, including deposit documentation and drawings, for CA filing. Update docketing, maintain files, and manage prosecution documentation.",Associate,N,N
PA310,A105,Draft and finalize provisional patent application materials for EP filing based on edge computing pipeline disclosure. Coordinate with internal legal team members and paralegals on execution.,Associate,N,N
