LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,MA00,A109,,Participate in negotiation session concerning confidentiality agreement for the target company in a asset purchase involving a SaaS business with material operations in Germany; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding auction process and bid procedures for the seller in a carve-out acquisition involving a cybersecurity business with material operations in New York; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding standstill provisions for the private equity sponsor in a statutory merger involving a logistics business with material operations in Australia; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding letter of intent for the buyer in a going-private transaction involving a biotechnology business with material operations in Delaware; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning letter of intent for the buyer in a statutory merger involving a professional services business with material operations in Ireland; focus on closing certainty.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for exclusivity agreement for the buyer in a asset purchase involving a automotive technology business with material operations in Australia; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A103,,Draft and revise confidentiality agreement for the strategic acquirer in a management buyout involving a data analytics business with material operations in Texas; focus on deal execution.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding auction process and bid procedures for the target company in a sale of a business division involving a logistics business with material operations in Massachusetts; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding exclusivity agreement for the seller in a sale of a business division involving a healthcare services business with material operations in Illinois; focus on third-party approvals.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding pre-signing communications protocol for the seller in a carve-out acquisition involving a food and beverage business with material operations in the Netherlands; focus on representations and warranties.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for standstill provisions for the strategic acquirer in a tender offer involving a enterprise software business with material operations in New York; focus on deal execution.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding clean-team protocol for the target company in a asset purchase involving a food and beverage business with material operations in Australia; focus on closing conditions.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A107,,Confer with opposing transaction counsel regarding auction process and bid procedures for the strategic acquirer in a management buyout involving a data analytics business with material operations in France; focus on transaction documentation.,Associate,N,N,N,N,,,,,,,
FEE,MA00,A109,,Participate in negotiation session concerning pre-signing communications protocol for the private equity sponsor in a statutory merger involving a fintech business with material operations in Australia; focus on interim operating covenants.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A101,,Develop preliminary strategy for initial risk-allocation strategy for the target company in a divestiture involving a fintech business with material operations in Canada; focus on risk allocation.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A106,,Advise client regarding standstill provisions for the private equity sponsor in a management buyout involving a professional services business with material operations in Canada; focus on post-closing exposure.,Partner,N,N,N,N,,,,,,,
FEE,MA00,A104,,Review and analyze pre-signing communications protocol for the seller in a divestiture involving a insurance business with material operations in the United Kingdom; focus on representations and warranties.,Associate,N,N,N,N,,,,,,,
