LINE_ITEM_TYPE,TASK_CODE,ACTIVITY_CODE,EXPENSE_CODE,DESCRIPTION,TK_CLASSIFICATION,BLOCKBILLING,VAGUE,MISMATCH,PROHIBITED_ADMIN,MIN_AMOUNT,MAX_AMOUNT,MIN_UNITS,MAX_UNITS,UNIT_COST,RECEIPT_REQUIRED,GENERATE_RECEIPT
FEE,L310,A103,,Review vendor invoice and supporting documentation per attached expert invoice backup,Associate,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft joint case management statement regarding deposition strategy,Associate,N,N,N,N,,,,,,,
FEE,L300,A101,,Analyze case chronology re discovery issues,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A107,,Draft notice of removal regarding deposition strategy to {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Approve deposition strategy with {NAME_PLACEHOLDER},Partner,N,N,N,N,,,,,,,
FEE,L200,A111,,Attend hearing and argue motion re trial preparation,Partner,N,N,N,N,,,,,,,
FEE,L400,A111,,Prepare hearing strategy re settlement framework,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A101,,Prepare and serve subpoenas re motion practice,Paralegal,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline regarding litigation strategy,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment regarding deposition strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L300,A110,,Prepare deposition cross outline regarding procedural strategy with {NAME_PLACEHOLDER},Associate,N,N,N,N,,,,,,,
FEE,L320,A113,,Review document set for production issues re settlement framework,Paralegal,N,N,N,N,,,,,,,
FEE,L120,A105,,Research sanctions standards re compliance with local rules,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft reply brief re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Draft motion for summary judgment re discovery issues,Associate,N,N,N,N,,,,,,,
FEE,L200,A107,,Revise discovery responses re motion practice,Associate,N,N,N,N,,,,,,,
FEE,L240,A112,,Review and analyze case law updates re mediation planning,Associate,N,N,N,N,,,,,,,
FEE,L500,A104,,Evaluate appeal issues,Partner,N,N,N,N,,,,,,,
FEE,L200,A105,,Compile record citations re motion practice,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A107,,High-level review of draft motion re settlement framework,Partner,N,N,N,N,,,,,,,
FEE,L400,A113,,Analyze upcoming litigation milestones re trial preparation,Paralegal,N,N,N,N,,,,,,,
FEE,L200,A101,,Prepare for settlement conference re motion practice,Partner,N,N,N,N,,,,,,,
